question,answer
Quais são os tratamentos para a Coriomeningite Linfocítica (LCM)?,"Meningite asséptica, encefalite ou meningoencefalite requerem hospitalização e tratamento de suporte com base na gravidade. Medicamentos anti-inflamatórios, como corticosteróides, podem ser considerados em circunstâncias específicas. Embora estudos tenham demonstrado que a ribavirina, um medicamento utilizado para tratar várias outras doenças virais, é eficaz contra o LCMV in vitro, não há evidências estabelecidas que apoiem o seu uso rotineiro no tratamento do LCM em humanos."
Como prevenir a coriomeningite linfocítica (LCM)?,"A infecção por LCMV pode ser evitada evitando o contato com camundongos selvagens e tomando precauções ao manusear roedores de estimação (ou seja, camundongos, hamsters ou porquinhos-da-índia). 
                
Raramente, roedores de estimação podem ser infectados com LCMV de roedores selvagens. Criadores, lojas de animais e donos de animais de estimação devem tomar medidas para prevenir infestações de roedores selvagens. Roedores de estimação não devem entrar em contato com roedores selvagens. Se você tiver um roedor de estimação, lave as mãos com água e sabão (ou esfregue as mãos à base de álcool sem água quando não houver sabão disponível e as mãos não estejam visivelmente sujas) após manusear os roedores ou suas gaiolas e roupas de cama. 
                
Se você tiver uma infestação de roedores dentro e ao redor de sua casa, tome as seguintes precauções para reduzir o risco de infecção por LCMV: 
 
 - Sele os orifícios ou lacunas de entrada de roedores com lã de aço, ripas de metal ou calafetagem. 
 - Armadilhar ratos e camundongos usando uma armadilha instantânea apropriada. 
 - Limpe as fontes de alimento e locais de nidificação dos roedores e tome precauções ao limpar áreas infectadas por roedores: 
   
   - Use ventilação cruzada ao entrar em uma sala ou residência fechada anteriormente sem ventilação antes da limpeza. 
   - Calçar luvas de borracha, látex, vinil ou nitrila. 
   - Não levante poeira aspirando, varrendo ou qualquer outro meio. 
   - Molhar completamente as áreas contaminadas com uma solução de lixívia ou desinfetante doméstico. 
   - Solução de hipoclorito (lixívia): Misture 1 e 1/2 xícaras de água sanitária em 1 galão de água. 
   - Depois que tudo estiver molhado, retire os materiais contaminados com uma toalha úmida e depois esfregue ou passe uma esponja na área com solução de água sanitária ou desinfetante doméstico. 
   - Pulverize os roedores mortos com desinfetante e, em seguida, embale em saco duplo junto com todos os materiais de limpeza e jogue o saco em um sistema de descarte de resíduos apropriado. 
   - Retire as luvas e lave bem as mãos com água e sabão (ou esfregue as mãos sem água à base de álcool quando não houver sabão disponível e as mãos não estejam visivelmente sujas). 
    
 
                
As distribuições geográficas dos hospedeiros roedores são difundidas tanto no país como no exterior. No entanto, o reconhecimento e diagnóstico infrequentes e a subnotificação histórica de LCM limitaram a capacidade dos cientistas de estimar as taxas de incidência e prevalência de doenças entre humanos. Compreender a epidemiologia das infecções por LCM e LCMV ajudará a delinear melhor os factores de risco para infecção e a desenvolver estratégias preventivas eficazes. Aumentar a conscientização dos médicos melhorará o reconhecimento e a notificação de doenças, o que poderá levar a uma melhor caracterização da história natural e dos mecanismos imunopatológicos subjacentes da doença, e estimulará futuras pesquisas e desenvolvimento terapêutico."
O que são (são) Parasitas - Cisticercose?,"A cisticercose é uma infecção causada pelas larvas do parasita Taenia solium.  Esta infecção ocorre depois que uma pessoa ingere ovos de tênia. As larvas entram em tecidos como músculos e cérebro e formam cistos (chamados cisticercos). Quando cistos são encontrados no cérebro, a condição é chamada de neurocisticercose."
Quem corre risco de contrair Parasitas - Cisticercose? ?,"A cisticercose é uma infecção causada pelas larvas da tênia Taenia solium. Uma pessoa com uma tênia adulta, que vive no intestino, elimina ovos nas fezes.  A infecção pela tênia adulta é chamada teníase.  Um porco então come os ovos nas fezes.  Os ovos se transformam em larvas dentro do porco e formam cistos (chamados cisticercos) nos músculos ou em outros tecidos do porco. A infecção pelos cistos é chamada cisticercose. Humanos que comem carne de porco infectada mal cozida ou crua engolem os cistos da carne. As larvas então saem de seus cistos no intestino humano e se transformam em tênias adultas, completando o ciclo.
    
As pessoas contraem cisticercose quando engolem ovos que são excretados nas fezes de pessoas com tênia adulta. Isso pode acontecer quando as pessoas
    
     - Beba água ou coma alimentos contaminados com ovos de tênia
     - Colocar dedos contaminados na boca
    
    
A cisticercose não é transmitida pela ingestão de carne mal cozida. No entanto, as pessoas são infectadas com tênias (teníase) ao comer carne de porco infectada mal cozida. Pessoas com infecções por tênia podem se infectar com os ovos e desenvolver cisticercose (isso é chamado de autoinfecção). Eles também podem infectar outras pessoas se tiverem falta de higiene e contaminarem alimentos ou água que outras pessoas engolem. Pessoas que vivem com alguém que tem infecção por tênia no intestino têm um risco muito maior de contrair cisticercose do que outras pessoas.
    
A cisticercose humana é encontrada em todo o mundo, especialmente em áreas onde a cisticercose suína é comum. Tanto a teníase como a cisticercose são mais frequentemente encontradas em áreas rurais de países em desenvolvimento com saneamento precário, onde os porcos circulam livremente e comem fezes humanas. A teníase e a cisticercose são raras entre pessoas que vivem em países onde os porcos não são criados e em países onde os porcos não têm contacto com fezes humanas. Embora incomum, a cisticercose pode ocorrer em pessoas que nunca viajaram para fora dos Estados Unidos se forem expostas a ovos de tênia.
    
Mais sobre: ​​Teníase"
Como diagnosticar Parasitas - Cisticercose?,"Se você acha que pode ter cisticercose, consulte seu médico. Seu médico irá perguntar sobre seus sintomas, para onde você viajou e que tipo de alimentos você ingere. O diagnóstico de neurocisticercose geralmente requer ressonância magnética ou tomografia computadorizada do cérebro. Os exames de sangue podem ser úteis para ajudar a diagnosticar uma infecção, mas nem sempre podem ser positivos em infecções leves.
  
Se você foi diagnosticado com cisticercose, você e seus familiares devem ser testados para infecção intestinal por tênia. Consulte a seção sobre teníase para obter mais informações sobre infecções intestinais por tênia.  
  
Mais sobre: Teníase
  
Mais em: Recursos para Profissionais de Saúde: Diagnóstico"
Quais os tratamentos para Parasitas - Cisticercose?,"Algumas pessoas com cisticercose não precisam de tratamento. Existem medicamentos disponíveis para tratar a cisticercose para quem precisa de tratamento. Às vezes, a cirurgia pode ser necessária. O seu médico irá aconselhá-lo sobre qual tratamento é melhor para você.
    
Mais em: Recursos para Profissionais de Saúde: Tratamento
    
Mais sobre: Teníase"
Como prevenir Parasitas - Cisticercose?,"Para prevenir a cisticercose, devem ser tomados os seguintes cuidados:
    
     - Lave as mãos com sabão e água morna após usar o banheiro, trocar fraldas e antes de manusear alimentos
     - Ensine às crianças a importância de lavar as mãos para prevenir infecções
     - Lave e descasque todos os vegetais e frutas cruas antes de comer
     - Use boas práticas de segurança alimentar e hídrica ao viajar em países em desenvolvimento, como: 
      
       - Beba apenas água engarrafada ou fervida (1 minuto) ou bebidas gaseificadas (borbulhantes) em latas ou garrafas
       - Filtrar água imprópria através de um filtro de “1 mícron absoluto ou menos” E dissolver pastilhas de iodo na água filtrada; Filtros de ""1 mícron absoluto"" podem ser encontrados em lojas de camping e de materiais para atividades ao ar livre
      
    
    
Mais sobre: Lavagem das mãos
    
Mais sobre: Segurança Alimentar e Hídrica"
O que são (são) Parasitas - Tricuríase (também conhecida como Infecção por Whipworm)?,Trichuris (Trichuris trichiura) é um parasita intestinal de humanos. As larvas e vermes adultos vivem no intestino dos humanos e podem causar doenças intestinais. O nome é derivado do formato característico de chicote do verme.
Quem corre risco de contrair parasitas - tricuríase (também conhecida como infecção por vermes)? ?,"Tricurídeo é um helminto transmitido pelo solo (STH) e é a terceira lombriga mais comum em humanos. Tricuríase causa uma infecção chamada tricuríase e geralmente ocorre em áreas onde as fezes humanas são usadas como fertilizante ou onde ocorre a defecação no solo. Os vermes são transmitidos de pessoa para pessoa por transmissão fecal-oral ou através de alimentos contaminados com fezes.
    Distribuição Geográfica
Em todo o mundo, a infecção ocorre com mais frequência em áreas com clima tropical e práticas sanitárias deficientes, e entre crianças. Em 2002, o número estimado de pessoas infectadas com tricurídeos era de 1 bilhão. A tricuríase também ocorre no sul dos Estados Unidos."
Como diagnosticar Parasitas - Tricuríase (também conhecida como Infecção por Tricurídeos)?,"O método padrão para diagnosticar a presença de tricurídeos é através da identificação microscópica de ovos de tricurídeos em uma amostra de fezes. Como os ovos podem ser difíceis de encontrar em infecções leves, recomenda-se um procedimento de concentração."
Quais são os tratamentos para Parasitas - Tricuríase (também conhecida como Infecção por Tricurídeo)?,"Medicamentos anti-helmínticos (medicamentos que livram o corpo de vermes parasitas), como albendazol e mebendazol, são os medicamentos de escolha para o tratamento. As infecções geralmente são tratadas por 3 dias. Os medicamentos recomendados são eficazes. Os profissionais de saúde podem decidir repetir o exame de fezes após o tratamento. Suplementos de ferro também podem ser prescritos se a pessoa infectada sofrer de anemia.
    
Mais em: Recursos para Profissionais de Saúde: Tratamento"
Como prevenir Parasitas - Tricuríase (também conhecida como Infecção por Tricurídeos)?,"A melhor maneira de prevenir a infecção por tricurídeos é sempre:
    
     - Evite a ingestão de solo que possa estar contaminado com fezes humanas, inclusive onde matéria fecal humana (“solo noturno”) ou águas residuais são usadas para fertilizar plantações.
     - Lave as mãos com sabão e água morna antes de manusear os alimentos.
     - Ensine às crianças a importância de lavar as mãos para prevenir infecções.
     - Lave, descasque ou cozinhe todos os vegetais e frutas cruas antes de comer, especialmente aqueles que foram cultivados em solo fertilizado com estrume.

Qual remédio tomar para dor de cabeça?,O tratamento medicamentoso comum para cefaleia tensional episódica envolve o uso de analgésicos simples (como dipirona ou paracetamol) e anti-inflamatórios não esteroides. O repouso em ambiente com pouca luz e ruído auxilia na recuperação. Cefaleias súbitas de forte intensidade requerem avaliação neurológica imediata.
O que tomar para dor de barriga?,"O manejo da dor abdominal inespecífica geralmente inclui dieta leve e uso de antiespasmódicos (como escopolamina). No entanto, a automedicação pode mascarar quadros cirúrgicos. Dores localizadas na fossa ilíaca direita, associadas a febre e vômitos, são sugestivas de apendicite aguda e exigem cirurgia."
Quais os sintomas da Dengue?,"A dengue clássica manifesta-se com febre alta de início abrupto, cefaleia intensa, dor retro-orbital, mialgia e artralgia. O exantema pode surgir após o declínio da febre. A hidratação oral vigorosa é a base do tratamento. O uso de ácido acetilsalicílico (AAS) é contraindicado devido ao risco de complicações hemorrágicas."
Quais os sintomas do Infarto?,"O infarto agudo do miocárdio caracteriza-se tipicamente por dor precordial opressiva que pode irradiar para o membro superior esquerdo, pescoço ou mandíbula. Sintomas associados incluem diaforese, náuseas e dispneia. Trata-se de uma emergência médica que exige reperfusão imediata."
Quais os sintomas do AVC?,"Os sinais de alerta do Acidente Vascular Cerebral (AVC) incluem assimetria facial súbita, perda de força em um hemicorpo e disartria. O reconhecimento imediato e o transporte hospitalar são cruciais para a janela terapêutica da trombólise."
Como tratar queimadura?,O tratamento imediato de queimaduras térmicas consiste no resfriamento da lesão com água corrente em temperatura ambiente por 15 a 20 minutos. A aplicação de substâncias caseiras (como manteiga ou creme dental) é desaconselhada pois favorece infecções secundárias.
Como tratar Gripe?,"O manejo da Influenza (gripe) é predominantemente de suporte, com repouso, hidratação adequada e uso de antitérmicos para controle da febre. O uso de antivirais (oseltamivir) é reservado para pacientes hospitalizados ou com fatores de risco para complicações graves."
Como tratar dor de garganta?,"A faringotonsilite viral é autolimitada e tratada com analgésicos e anti-inflamatórios. A faringite bacteriana estreptocócica, caracterizada por exsudato purulento e ausência de tosse, requer tratamento com antibióticos (como penicilina ou amoxicilina) para prevenir febre reumática."
Como tratar conjuntivite?,"A conjuntivite viral é tratada com medidas de higiene, compressas frias e lubrificantes oculares. A forma bacteriana, que apresenta secreção purulenta abundante, é tratada com colírios antibióticos tópicos. A lavagem frequente das mãos é essencial para evitar o contágio."
Como tratar crise de Ansiedade?,"O manejo agudo da crise de ansiedade envolve técnicas de acalmia e controle respiratório (respiração diafragmática). O paciente deve ser afastado de estímulos estressores. É fundamental o diagnóstico diferencial com eventos cardiovasculares agudos, especialmente se houver dor torácica."
Quais os tratamentos para Hipertensão?,"O tratamento da hipertensão arterial sistêmica fundamenta-se em mudanças no estilo de vida (redução de sódio, perda de peso) e farmacoterapia. As classes medicamentosas principais incluem diuréticos tiazídicos, inibidores da ECA e bloqueadores dos canais de cálcio."
Quais os tratamentos para Diabetes Tipo 2?,"O controle do Diabetes Mellitus tipo 2 envolve dieta com restrição de carboidratos simples, atividade física regular e uso de antidiabéticos orais, sendo a Metformina a primeira linha de tratamento. A insulinoterapia pode ser necessária na evolução da doença."
Como tratar Infecção Urinária?,"A cistite aguda não complicada é tratada empiricamente com antibióticos de curta duração, como fosfomicina ou nitrofurantoína. A ingestão hídrica abundante auxilia na eliminação mecânica das bactérias do trato urinário."
O que fazer na Diarreia?,O pilar do tratamento da gastroenterite aguda é a prevenção da desidratação através da reposição hidreletrolítica oral (SRO). O uso de antidiarreicos deve ser evitado em casos de disenteria (presença de sangue ou muco) ou febre alta.
O que é Apendicite?,"A apendicite aguda é a inflamação do apêndice cecal, sendo a causa mais comum de abdome agudo cirúrgico. O quadro clínico clássico inicia com dor periumbilical que migra para a fossa ilíaca direita, acompanhada de anorexia e febre."

    
Mais sobre: Lavagem das mãos
    
A transmissão da infecção a outras pessoas pode ser evitada através de
    
     - Não defecar ao ar livre.
     - Sistemas eficazes de eliminação de esgotos."
o que são toxinas marinhas?,"As toxinas marinhas são produtos químicos naturais que podem contaminar certos frutos do mar. Os frutos do mar contaminados com esses produtos químicos freqüentemente têm aparência, cheiro e sabor normais. Quando os humanos comem esses frutos do mar, podem ocorrer doenças."
como essas doenças podem ser diagnosticadas para toxinas marinhas?,"O diagnóstico de envenenamento por toxinas marinhas geralmente é baseado nos sintomas e no histórico de ingestão recente de um determinado tipo de frutos do mar. Os testes laboratoriais para a toxina específica em amostras de pacientes geralmente não são necessários porque requerem técnicas e equipamentos especiais disponíveis apenas em laboratórios especializados. Se houver suspeita de sobras de peixe ou marisco, eles podem ser testados quanto à presença da toxina com mais facilidade. A identificação da toxina específica geralmente não é necessária para o tratamento de pacientes porque não existe tratamento específico."
como essas doenças podem ser tratadas para toxinas marinhas?,"Além dos cuidados de suporte, existem poucos tratamentos específicos para envenenamento por ciguatera, envenenamento paralítico por marisco, envenenamento neurotóxico por marisco ou envenenamento amnésico por marisco. Anti-histamínicos e epinefrina, entretanto, às vezes podem ser úteis no tratamento dos sintomas de envenenamento por peixe escombrotóxico. O manitol intravenoso foi sugerido para o tratamento de intoxicação grave por ciguatera."
quão comuns são essas doenças para toxinas marinhas?,"Todos os anos, são relatados aproximadamente 30 casos de envenenamento por toxinas marinhas nos Estados Unidos. Como os prestadores de cuidados de saúde não são obrigados a notificar estas doenças e porque muitos casos mais ligeiros não são diagnosticados ou notificados, o número real de intoxicações pode ser muito maior. As intoxicações por frutos do mar tóxicos são mais comuns no verão do que no inverno porque os dinoflagelados crescem bem nas estações mais quentes. Estima-se, a partir de casos com dados disponíveis, que uma pessoa morre a cada 4 anos devido a intoxicações tóxicas por frutos do mar."
o que posso fazer para prevenir o envenenamento por toxinas marinhas?,Diretrizes gerais para o consumo seguro de frutos do mar:
o que o governo está fazendo sobre essas doenças devido às toxinas marinhas?,"Alguns departamentos de saúde testam mariscos colhidos na sua jurisdição para monitorizar o nível de toxinas dinoflageladas e avaliar o risco de contaminação. Com base nos resultados desses testes, a colheita recreativa e comercial de frutos do mar pode ser proibida localmente durante períodos de risco. As agências reguladoras estaduais e federais monitoram os casos relatados de envenenamento por toxinas marinhas, e os departamentos de saúde investigam possíveis surtos e elaboram medidas de controle. Os Centros de Controle e Prevenção de Doenças (CDC) fornecem suporte aos investigadores conforme necessário."
o que mais pode ser feito para prevenir essas doenças devido às toxinas marinhas?,"É importante notificar os departamentos de saúde pública sobre pelo menos uma pessoa com envenenamento por toxinas marinhas. Os departamentos de saúde pública podem então investigar para determinar se um restaurante, um viveiro de ostras ou uma área de pesca tem algum problema. Isso evita outras doenças. Em qualquer ocorrência de intoxicação alimentar, os consumidores devem anotar os alimentos ingeridos e congelar quaisquer porções não consumidas, caso precisem ser testadas. Um teste comercial foi desenvolvido no Havaí para permitir que pessoas testassem peixes capturados esportivamente para ciguatoxinas."
O que é (são) Vacinação contra Febre Amarela?,"Se você continuar morando ou viajando em áreas endêmicas de febre amarela, deverá receber uma dose de reforço da vacina contra febre amarela após 10 anos.
                
Após receber a vacina, você deverá receber um Certificado Internacional de Vacinação (cartão amarelo) validado pelo centro de vacinação. Este Certificado torna-se válido 10 dias após a vacinação e tem validade de 10 anos. Você precisará deste cartão como comprovante de vacinação para entrar em determinados países."
O que são (são) Parasitas – Esquistossomose?,"A esquistossomose, também conhecida como bilharziose, é uma doença causada por vermes parasitas. A infecção por Schistosoma mansoni, S. haematobium e S. japonicum causa doenças em humanos; menos comumente, S. mekongi e S. intercalatum podem causar doenças. Embora os vermes que causam a esquistossomose não sejam encontrados nos Estados Unidos, mais de 200 milhões de pessoas estão infectadas em todo o mundo."
Quem corre risco de contrair Parasitas - Esquistossomose? ?,"A esquistossomose é uma importante causa de doença em muitas partes do mundo, mais comumente em locais com saneamento precário. As crianças em idade escolar que vivem nestas áreas estão frequentemente em maior risco porque tendem a passar o tempo nadando ou tomando banho em águas contendo cercárias infecciosas.
Se você mora ou viaja para áreas onde a esquistossomose é encontrada e está exposto a água doce contaminada, você corre risco.
   
As áreas onde a esquistossomose humana é encontrada incluem:
   
    - Schistosoma mansoni 
     
      - distribuída por toda a África: Existe o risco de infecção na água doce da África Austral e Subsaariana – incluindo os grandes lagos e rios, bem como pequenas massas de água. A transmissão também ocorre no vale do rio Nilo, no Sudão e no Egito
      - América do Sul: incluindo Brasil, Suriname, Venezuela
      - Caraíbas (o risco é baixo): República Dominicana, Guadalupe, Martinica e Santa Lúcia.
     
    - S. haematobium 
     
      - distribuída por toda a África: Existe o risco de infecção na água doce da África Austral e Subsaariana – incluindo os grandes lagos e rios, bem como pequenas massas de água. A transmissão também ocorre no vale do rio Nilo, no Egito, e na região de Mahgreb, no norte da África.
      - encontrado em áreas do Oriente Médio
     
    -S. japonicum 
     
      - encontrado na Indonésia e em partes da China e Sudeste Asiático
     
    -S.mekongi 
     
      - encontrado no Camboja e no Laos
     
    - S. intercalatum 
     
      - encontrado em partes da África Central e Ocidental."
Como diagnosticar Parasitas - Esquistossomose?,"Amostras de fezes ou urina podem ser examinadas microscopicamente para detectar ovos do parasita (fezes para ovos de S. mansoni ou S. japonicum e urina para ovos de S. haematobium). Os óvulos tendem a ser eliminados de forma intermitente e em pequenas quantidades e podem não ser detectados, por isso pode ser necessário realizar um exame de sangue (sorológico).
    
Mais em: Recursos para Profissionais de Saúde: Diagnóstico"
Quais os tratamentos para Parasitas - Esquistossomose?,"Medicamentos seguros e eficazes estão disponíveis para o tratamento da esquistossomose urinária e intestinal. O Praziquantel, um medicamento prescrito, é tomado por 1 a 2 dias para tratar infecções causadas por todas as espécies de Schistosoma.
    
Mais em: Recursos para Profissionais de Saúde: Tratamento"
Como prevenir Parasitas - Esquistossomose?,"Prevenção
    
Nenhuma vacina está disponível.
    
A melhor maneira de prevenir a esquistossomose é seguir os seguintes passos se você estiver visitando ou morar em uma área onde a esquistossomose é transmitida:
    
     - Evite nadar ou vadear em água doce quando estiver em países onde ocorre a esquistossomose. Nadar no oceano e em piscinas cloradas é seguro.
     - Beba água potável. Embora a esquistossomose não seja transmitida pela ingestão de água contaminada, se sua boca ou lábios entrarem em contato com água que contenha o parasita, você poderá ser infectado. Como a água vinda diretamente de canais, lagos, rios, córregos ou nascentes pode estar contaminada com uma variedade de organismos infecciosos, você deve deixar a água ferver por 1 minuto ou filtrar a água antes de bebê-la. Deixe a água ferver por pelo menos 1 minuto para matar quaisquer parasitas, bactérias ou vírus nocivos presentes. O tratamento com iodo por si só NÃO GARANTE que a água seja segura e livre de todos os parasitas.
     - A água usada para o banho deve ser fervida por 1 minuto para matar qualquer cercária e depois resfriada antes do banho para evitar queimaduras. A água mantida em um tanque de armazenamento por pelo menos 1 a 2 dias deve ser segura para o banho.
     - A secagem vigorosa com toalha após uma exposição acidental e muito breve à água pode ajudar a evitar que o parasita Schistosoma penetre na pele. No entanto, não confie apenas na secagem vigorosa com toalhas para prevenir a esquistossomose.
    
    
Aqueles que tiveram contato com água potencialmente contaminada no exterior devem consultar seu médico após retornar da viagem para discutir testes.
    
Mais sobre: Esquistossomose em Viajantes
   
  
  
   Controle
   
Nos países onde a esquistossomose causa doenças significativas, os esforços de controlo concentram-se geralmente em:
   
    - reduzir o número de infecções em pessoas e/ou
    - eliminar os caracóis necessários à manutenção do ciclo de vida do parasita.
   
   
Para todas as espécies que causam a esquistossomose, a melhoria do saneamento poderia reduzir ou eliminar a transmissão desta doença. Em algumas áreas com níveis de transmissão mais baixos, a eliminação da esquistossomose é considerada uma “batalha vencível” pelas autoridades de saúde pública.
   
As medidas de controlo podem incluir o tratamento toxicodependente em massa de comunidades inteiras e o tratamento específico de crianças em idade escolar. Alguns dos problemas com o controle da esquistossomose incluem:
   
    - Os produtos químicos utilizados para eliminar os caracóis nas fontes de água doce podem prejudicar outras espécies de animais na água e, se o tratamento não for mantido, os caracóis podem regressar posteriormente a esses locais.
    - Para certas espécies do parasita, como S. japonicum, animais como vacas ou búfalos também podem ser infectados. O escoamento das pastagens (se as vacas estiverem infectadas) pode contaminar as fontes de água doce."
O que são (são) Parasitas - Piolhos - Piolhos?,"O piolho, ou Pediculus humanus capitis, é um inseto parasita que pode ser encontrado na cabeça, sobrancelhas e cílios das pessoas. Os piolhos se alimentam de sangue humano várias vezes ao dia e vivem perto do couro cabeludo humano. Os piolhos não são conhecidos por espalhar doenças."
